Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Jubilant Foodworks Ltd.,Restaurants,3.17,4648.2,3.17%,-0.02%,3.19% (Jan 2024),0% (Mar 2023),1.00 Cr,10.20 L,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
United Breweries Ltd.,Breweries & distilleries,3.13,4582.4,3.13%,-0.20%,3.38% (Dec 2023),1.43% (May 2023),27.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Bajaj Finance Ltd.,Non banking financial company (nbfc),6.03,4546.7,3.10%,-0.17%,4.13% (Sep 2023),3.1% (Feb 2024),7.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Divis Laboratories Ltd.,Pharmaceuticals,3.09,4535.4,3.09%,-0.16%,3.72% (Jun 2023),3.09% (Feb 2024),13.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Hindalco Industries Ltd.,Aluminium,3.09,4534.7,3.09%,-0.46%,3.88% (Dec 2023),2.99% (May 2023),90.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Muthoot Finance Pvt. Ltd.,Non banking financial company (nbfc),6.03,4302.4,2.93%,-0.21%,3.54% (Nov 2023),0% (Mar 2023),33.00 L,0.00,Mid Cap,15.73,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Torrent Power Ltd.,Integrated power utilities,2.84,4165.3,2.84%,0.10%,2.84% (Feb 2024),0% (Mar 2023),38.64 L,0.00,Mid Cap,15.73,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,2.76,4041,2.76%,0.05%,2.76% (Feb 2024),0% (Mar 2023),1.48 Cr,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Aptus Value Housing Finance India Ltd.,Housing finance company,2.56,3759.3,2.56%,-0.17%,2.73% (Jan 2024),0% (Mar 2023),1.07 Cr,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Carborundum Universal Ltd.,Abrasives & bearings,2.55,3742.6,2.55%,-0.13%,3.35% (Jun 2023),2.55% (Feb 2024),35.00 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Paradeep Phosphates Ltd.,Fertilizers,2.47,3625.2,2.47%,-0.12%,2.59% (Jan 2024),2.06% (Apr 2023),4.77 Cr,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Infosys Ltd.,Computers - software & consulting,2.4,3515.2,2.40%,0.02%,2.4% (Feb 2024),0% (Mar 2023),21.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Sona BLW Precision Forgings Ltd.,Auto components & equipments,2.35,3446.8,2.35%,0.24%,2.35% (Feb 2024),1.79% (Mar 2023),50.00 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
TTK Prestige Ltd.,Household appliances,8.29,3422.7,2.33%,-0.12%,2.83% (Oct 2023),2.33% (Feb 2024),45.76 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
PVR Inox Ltd.,"Film production, distribution & exhibition",2.31,3386.5,2.31%,-0.14%,3.37% (Aug 2023),2.31% (Feb 2024),24.70 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Archean Chemical Industries Ltd.,Specialty chemicals,3.07,3101.2,2.12%,0.35%,2.29% (Mar 2023),1.65% (Jul 2023),40.94 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
V-Guard Industries Ltd.,Household appliances,8.29,2957,2.02%,0.21%,2.18% (Aug 2023),1.81% (Jan 2024),91.00 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Mrs.Bectors Food Specialities Ltd.,Packaged foods,1.97,2884.4,1.97%,-0.47%,3.03% (Oct 2023),1.62% (Mar 2023),27.15 L,-2.94 L,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Kalpataru Power Transmission Ltd.,Civil construction,1.91,2802,1.91%,0.34%,1.91% (Feb 2024),1.24% (Jun 2023),29.00 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Page Industries Ltd.,Garments & apparels,1.8,2641.8,1.80%,-0.16%,2.6% (Apr 2023),1.8% (Feb 2024),77.00 k,0.00,Mid Cap,15.73,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Jupiter Life Line Hospitals Ltd.,Hospital,4.82,2333.4,1.59%,0.37%,1.59% (Feb 2024),0% (Mar 2023),16.89 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Nazara Technologies Ltd.,Digital entertainment,1.39,2041.3,1.39%,-0.26%,1.69% (Oct 2023),0% (Mar 2023),28.01 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Samhi Hotels Ltd.,Hotels & resorts,1.31,1919.2,1.31%,0.14%,1.31% (Feb 2024),0% (Mar 2023),88.48 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
V-Mart Retail Ltd.,Diversified retail,1.3,1912.4,1.30%,-0.18%,1.87% (Mar 2023),1.26% (Nov 2023),10.00 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Bank Of India,Public sector bank,4.83,1840.3,1.26%,-0.07%,1.33% (Jan 2024),0% (Mar 2023),1.40 Cr,0.00,Mid Cap,15.73,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Sai Silk (Kalamandir) Ltd.,Speciality retail,1.59,1811.8,1.24%,-0.05%,1.65% (Nov 2023),0% (Mar 2023),77.56 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Aether Industries Ltd.,Specialty chemicals,3.07,1396.2,0.95%,-0.01%,1.36% (Jun 2023),0.5% (May 2023),15.90 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Relaxo Footwears Ltd.,Footwear,1.12,1355.3,0.92%,-0.03%,1.2% (May 2023),0.92% (Feb 2024),16.22 L,0.00,Mid Cap,15.73,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Karur Vysya Bank Ltd,Private sector bank,5.53,754.5,0.51%,-0.05%,0.56% (Jan 2024),0% (Mar 2023),41.09 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Vedant Fashions Ltd.,Speciality retail,1.59,514.7,0.35%,0.01%,1.68% (Apr 2023),0.34% (Jan 2024),5.00 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
"#
V.I.P. Industries Ltd",Plastic products - consumer,0.25,370.2,0.25%,0.25%,0.25% (Feb 2024),0% (Mar 2023),6.70 L,6.70 L,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Campus Activewear Ltd.,Footwear,1.12,295.7,0.20%,-0.03%,0.24% (Nov 2023),0% (Mar 2023),12.13 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Life Insurance Corporation Of India,Life insurance,,3539.1,0.00%,-2.41%,-,-,-,-,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Global Health Ltd.,Hospital,9.79,450.2,4.77%,0.35%,4.77% (Feb 2024),1.91% (Apr 2023),3.30 L,-0.30 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
KFIN Technologies Ltd.,Financial technology (fintech),5.54,417.8,4.43%,0.39%,4.43% (Feb 2024),1.32% (Mar 2023),6.09 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Mankind Pharma Ltd.,Pharmaceuticals,8.93,346.5,3.67%,0.67%,3.67% (Feb 2024),0% (Mar 2023),1.62 L,22.25 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
JSW Infrastructure Ltd.,"Engineering, designing, construction",3.4,320.6,3.40%,0.52%,3.4% (Feb 2024),0% (Mar 2023),12.50 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Concord Biotech Ltd.,Pharmaceuticals,8.93,305.8,3.24%,-0.03%,3.35% (Dec 2023),0% (Mar 2023),2.10 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Bikaji Foods International Ltd.,Packaged foods,3.04,287,3.04%,-0.44%,3.48% (Jan 2024),0.35% (Apr 2023),5.50 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Rainbow Childrens Medicare Ltd.,Hospital,9.79,252.6,2.68%,-0.71%,3.39% (Jan 2024),1.95% (Mar 2023),1.86 L,-0.74 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Five-Star Business Finance Ltd.,Non banking financial company (nbfc),5.55,250.7,2.66%,-0.23%,2.96% (Oct 2023),2.21% (Apr 2023),3.55 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Fusion Micro Finance Ltd.,Microfinance institutions,2.65,249.8,2.65%,-0.51%,3.41% (Jul 2023),2.55% (Apr 2023),4.55 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Syrma SGS Technology Ltd.,Industrial products,10.16,246.4,2.61%,-0.40%,3.42% (Dec 2023),1.53% (Mar 2023),4.70 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Samhi Hotels Ltd.,Hotels & resorts,4.85,232.1,2.46%,0.23%,2.46% (Feb 2024),0% (Mar 2023),10.70 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Latent View Analytics Ltd.,Computers - software & consulting,3.67,229.4,2.43%,0.16%,2.72% (Mar 2023),1.95% (Jul 2023),4.50 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Cyient DLM Ltd.,Industrial products,10.16,225,2.39%,0.34%,2.39% (Feb 2024),0% (Mar 2023),2.80 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Jupiter Life Line Hospitals Ltd.,Hospital,9.79,220.3,2.34%,0.53%,2.34% (Feb 2024),0% (Mar 2023),1.59 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Landmark Cars Ltd.,Auto dealer,2.29,215.9,2.29%,-0.12%,2.44% (Dec 2023),1.3% (Mar 2023),3.00 L,30.00 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Jyoti CNC Automation Ltd.,Industrial products,10.16,211.4,2.24%,0.42%,2.24% (Feb 2024),0% (Mar 2023),3.60 L,52.40 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Data Patterns India Ltd.,Aerospace & defense,4.04,198.8,2.11%,0.07%,4.49% (Mar 2023),2.02% (Dec 2023),80.00 k,-0.20 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Life Insurance Corporation Of India,Life insurance,2.06,194.3,2.06%,0.23%,2.06% (Feb 2024),0% (Mar 2023),1.90 L,10.00 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Azad Engineering Ltd.,Aerospace & defense,4.04,181.6,1.93%,0.39%,1.93% (Feb 2024),0% (Mar 2023),1.50 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Aether Industries Ltd.,Specialty chemicals,1.92,180.6,1.92%,-0.03%,2.46% (Mar 2023),1.74% (Nov 2023),2.06 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
India Shelter Finance Corporation Ltd.,Housing finance company,2.59,174.7,1.85%,0.03%,1.85% (Feb 2024),0% (Mar 2023),2.77 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Utkarsh Small Finance Bank Ltd.,Other bank,1.66,156.6,1.66%,-0.19%,1.85% (Jan 2024),0% (Mar 2023),30.00 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Inox India Ltd.,Engineering,1.58,148.8,1.58%,0.85%,1.58% (Feb 2024),0% (Mar 2023),1.25 L,50.52 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Happy Forgings Ltd.,Castings & forgings,1.57,148.5,1.57%,0.10%,1.57% (Feb 2024),0% (Mar 2023),1.60 L,20.81 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
"-
R R Kabel Ltd.",Cables - electricals,1.57,147.8,1.57%,0.00%,1.77% (Nov 2023),0% (Mar 2023),1.02 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Vedant Fashions Ltd.,Speciality retail,2.97,144.1,1.53%,-0.89%,3.94% (Apr 2023),1.53% (Feb 2024),1.40 L,-0.85 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
SBFC Finance Ltd.,Non banking financial company (nbfc),5.55,143.8,1.53%,0.09%,1.53% (Feb 2024),0% (Mar 2023),17.00 L,2.00 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Yatra Online Ltd.,"Tour, travel related services",1.51,142.4,1.51%,-0.11%,1.62% (Jan 2024),0% (Mar 2023),8.45 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Metro Brands Ltd.,Footwear,1.51,142.4,1.51%,-0.19%,4.69% (Apr 2023),1.51% (Feb 2024),1.25 L,-0.20 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
"#
Apeejay Surrendra Park Hotels Ltd.",Hotels & resorts,4.85,140.3,1.49%,1.49%,1.49% (Feb 2024),0% (Mar 2023),6.66 L,6.66 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Uniparts India Ltd.,Industrial products,10.16,139.3,1.48%,0.09%,1.48% (Feb 2024),0.56% (Apr 2023),2.39 L,14.00 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Avalon Technologies Ltd.,Other electrical equipment,1.45,137.2,1.45%,-0.06%,1.59% (Jul 2023),0% (Mar 2023),2.58 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Kaynes Technology India Private Ltd.,Industrial products,10.16,136,1.44%,0.05%,1.44% (Feb 2024),0% (Mar 2023),46.00 k,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Updater Services Ltd.,Diversified commercial services,1.42,133.9,1.42%,0.40%,1.42% (Feb 2024),0% (Mar 2023),3.70 L,1.04 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Fedbank Financial Services Ltd.,Non banking financial company (nbfc),5.55,128,1.36%,-0.14%,1.5% (Jan 2024),0% (Mar 2023),10.70 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Divgi Torqtransfer Systems Private Ltd.,Auto components & equipments,3.06,126.4,1.34%,-0.15%,1.86% (Oct 2023),1.02% (Apr 2023),1.50 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Innova Captab Ltd.,Petrochemicals,1.31,123.5,1.31%,0.30%,1.31% (Feb 2024),0% (Mar 2023),2.33 L,50.00 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
C.E. Info Systems Ltd.,Software products,1.25,117.4,1.25%,-0.64%,4.47% (Oct 2023),1.25% (Feb 2024),65.00 k,-0.25 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Tata Technologies Ltd.,Computers - software & consulting,3.67,116.9,1.24%,-0.04%,1.5% (Nov 2023),0% (Mar 2023),1.08 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Ami Organics Ltd.,Pharmaceuticals,8.93,111.5,1.18%,-0.06%,2.98% (Aug 2023),1.18% (Feb 2024),1.00 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
"-
Cello World Ltd.",Household appliances,1.18,111.3,1.18%,0.00%,1.18% (Jan 2024),0% (Mar 2023),1.30 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
PB Fintech Ltd.,Financial technology (fintech),5.54,105.1,1.11%,0.14%,2.72% (Sep 2023),0.97% (Jan 2024),90.00 k,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Doms Industries Ltd.,Stationary,1.45,94.6,1.00%,0.06%,1% (Feb 2024),0% (Mar 2023),62.45 k,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Sai Silk (Kalamandir) Ltd.,Speciality retail,2.97,88.8,0.94%,-0.05%,0.99% (Jan 2024),0% (Mar 2023),3.80 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Clean Science and Technology Ltd.,Commodity chemicals,0.93,88.1,0.93%,-0.07%,2.73% (Apr 2023),0.9% (Nov 2023),62.31 k,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Ask Automotive Ltd.,Auto components & equipments,3.06,87,0.92%,-0.04%,0.96% (Jan 2024),0% (Mar 2023),2.97 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Dodla Dairy Ltd.,Dairy products,0.91,85.7,0.91%,-0.04%,1.18% (Jul 2023),0.77% (Oct 2023),86.04 k,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
"#
Juniper Hotels Ltd.",Hotels & resorts,4.85,85.2,0.90%,0.90%,0.9% (Feb 2024),0% (Mar 2023),1.94 L,1.94 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Blue Jet Healthcare Ltd.,Pharmaceuticals,8.93,79.6,0.84%,-0.04%,0.92% (Dec 2023),0% (Mar 2023),2.31 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Craftsman Automation Ltd.,Auto components & equipments,3.06,75.4,0.80%,-0.23%,2.06% (Aug 2023),0.8% (Feb 2024),18.00 k,-4.00 k,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Medi Assist Healthcare Services Ltd.,Healthcare service provider,0.74,69.6,0.74%,0.07%,0.74% (Feb 2024),0% (Mar 2023),1.36 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Home First Finance Company India Ltd.,Housing finance company,2.59,69.5,0.74%,-0.21%,1.6% (Mar 2023),0.74% (Feb 2024),80.00 k,-0.10 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Go Fashion (India) Ltd.,Speciality retail,2.97,47.6,0.50%,-0.51%,3.86% (Aug 2023),0.5% (Feb 2024),42.08 k,-0.43 L,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Flair Writing Industries Ltd.,Stationary,1.45,42.2,0.45%,-0.08%,0.57% (Dec 2023),0% (Mar 2023),1.50 L,0.00,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Sona BLW Precision Forgings Ltd.,Auto components & equipments,3.06,37.1,0.00%,-0.40%,-,-,-,-,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Campus Activewear Ltd.,Footwear,1.51,110.3,0.00%,-1.18%,-,-,-,-,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Rolex Rings Private Ltd.,Auto components & equipments,3.06,49.4,0.00%,-0.53%,-,-,-,-,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Ideaforge Technology Private Ltd.,Aerospace & defense,4.04,35.6,0.00%,-0.38%,-,-,-,-,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
Vijaya Diagnostic Centre Ltd.,Healthcare service provider,0.74,85.9,0.00%,-0.92%,-,-,-,-,Other,96.55,edelweiss-recently-listed-ipo-fund-direct-plan-growth,MJP332,Equity,07_multi
ICICI Bank Ltd.,Private sector bank,11.24,6780.5,6.06%,-0.77%,6.83% (Jan 2024),5.78% (Aug 2023),64.44 L,-7.18 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,4.93,4315.5,3.86%,1.82%,3.86% (Feb 2024),1.61% (Dec 2023),38.42 L,19.69 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Reliance Industries Ltd.,Refineries & marketing,5.23,3774,3.38%,-0.40%,4.77% (Dec 2023),2.89% (Oct 2023),12.92 L,-1.35 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,5.47,3287.2,2.94%,-0.26%,3.2% (Jan 2024),2.13% (Apr 2023),20.83 L,-3.50 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Larsen & Toubro Ltd.,Civil construction,4.06,2885.3,2.58%,0.52%,2.58% (Feb 2024),1.14% (Apr 2023),8.30 L,1.92 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Infosys Ltd.,Computers - software & consulting,4.95,2816.4,2.52%,-0.07%,3.73% (Jul 2023),2.31% (Sep 2023),16.83 L,0.00,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,2.43,2719.7,2.43%,-0.27%,3.14% (Aug 2023),1.55% (May 2023),2.41 L,-0.45 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Avenue Supermarts Ltd.,Diversified retail,2.07,2315.2,2.07%,0.59%,2.07% (Feb 2024),1.36% (Jul 2023),5.91 L,1.71 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Cummins India Ltd.,"Compressors, pumps & diesel engines",2.03,2267.1,2.03%,-0.44%,2.47% (Jan 2024),1.09% (Jul 2023),8.28 L,-3.31 L,Mid Cap,21.74,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
HDFC Bank Ltd.,Private sector bank,11.24,2252.7,2.01%,-0.16%,3.02% (Mar 2023),1.59% (Nov 2023),16.05 L,0.00,Other,14.48,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Hero Motocorp Ltd.,2/3 wheelers,3.14,1801.8,1.61%,0.85%,1.61% (Feb 2024),0.52% (Jun 2023),4.07 L,2.30 L,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
National Thermal Power Corporation Ltd.,Power generation,1.56,1743.3,1.56%,-0.35%,2.59% (Jul 2023),1.56% (Feb 2024),51.95 L,-0.13 Cr,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Oil India Ltd.,Oil exploration & production,2.07,1736.1,1.55%,-1.01%,2.57% (Nov 2023),0.82% (Apr 2023),31.76 L,-0.33 Cr,Mid Cap,21.74,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
TVS Motor Company Ltd.,2/3 wheelers,3.14,1707,1.53%,0.04%,2.04% (Mar 2023),1.41% (Jul 2023),7.98 L,0.00,Mid Cap,21.74,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Alkem Laboratories Ltd.,Pharmaceuticals,5.47,1604.1,1.43%,0.07%,1.67% (Mar 2023),1.21% (Sep 2023),3.13 L,17.49 k,Mid Cap,21.74,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Hindustan Unilever Ltd.,Diversified fmcg,2.34,1521.3,1.36%,-0.09%,1.56% (Oct 2023),0% (Mar 2023),6.31 L,0.00,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Affle India Ltd.,It enabled services,2.36,1477.6,1.32%,-0.20%,1.67% (Dec 2023),0.6% (Mar 2023),13.21 L,0.00,Other,14.48,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Syngene International Ltd.,"Healthcare research, analytics & technology",1.32,1470.8,1.32%,-0.14%,1.45% (Jan 2024),0% (Mar 2023),20.83 L,0.00,Mid Cap,21.74,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
United Breweries Ltd.,Breweries & distilleries,1.15,1285.8,1.15%,-0.12%,1.4% (Oct 2023),0.88% (Mar 2023),7.58 L,0.00,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
Siemens Ltd.,Heavy electrical equipment,2.05,1250.5,1.12%,0.09%,1.12% (Feb 2024),0% (Mar 2023),2.67 L,0.00,Large Cap,43.3,icici-prudential-multicap-fund-direct-plan-growth,MPI1132,Equity,07_multi
